Star Mass (solar masses): 1.407, Star Radius (solar radii): 1.381
------------------------------------------------------------------------------------------
Time (Days),Brightness (solar luminosities),Brightness uncertainty (solar luminosities),Brightness (fractional),Brightness uncertainty (fractional)
6.32741, 3.92313824, 4.035E-5, 0.99999174, 1.028E-5
6.32741, 3.92313709, 4.170E-5, 0.99999145, 1.063E-5
6.32741, 3.92313562, 4.159E-5, 0.99999107, 1.060E-5
6.32741, 3.92313733, 3.764E-5, 0.99999151, 9.594E-6
6.32741, 3.92314225, 4.024E-5, 0.99999276, 1.026E-5
6.32741, 3.92313600, 3.647E-5, 0.99999117, 9.296E-6
6.32741, 3.92313574, 4.156E-5, 0.99999110, 1.059E-5
6.32741, 3.92313765, 3.528E-5, 0.99999159, 8.992E-6
6.32741, 3.92314040, 3.905E-5, 0.99999229, 9.953E-6
6.32741, 3.92313588, 3.740E-5, 0.99999114, 9.532E-6
6.32741, 3.92314073, 4.054E-5, 0.99999237, 1.033E-5
6.32741, 3.92313917, 4.256E-5, 0.99999198, 1.085E-5
6.32741, 3.92314031, 4.034E-5, 0.99999227, 1.028E-5
6.32741, 3.92313757, 3.764E-5, 0.99999157, 9.594E-6
6.32741, 3.92313700, 4.108E-5, 0.99999142, 1.047E-5
6.32741, 3.92313730, 3.797E-5, 0.99999150, 9.679E-6
6.32741, 3.92313702, 3.764E-5, 0.99999143, 9.595E-6
6.32741, 3.92314252, 4.244E-5, 0.99999283, 1.082E-5
6.32741, 3.92313995, 3.779E-5, 0.99999218, 9.633E-6
6.32741, 3.92314148, 3.726E-5, 0.99999257, 9.497E-6
6.32741, 3.92313709, 3.568E-5, 0.99999145, 9.095E-6
6.32741, 3.92313619, 3.531E-5, 0.99999122, 9.002E-6
6.32741, 3.92313737, 3.500E-5, 0.99999152, 8.922E-6
6.32741, 3.92313580, 3.451E-5, 0.99999112, 8.796E-6
6.32741, 3.92314093, 3.598E-5, 0.99999243, 9.172E-6
6.32741, 3.92314010, 3.677E-5, 0.99999221, 9.372E-6
6.32741, 3.92313791, 4.000E-5, 0.99999166, 1.020E-5
6.32741, 3.92313578, 3.834E-5, 0.99999111, 9.773E-6
6.32741, 3.92313602, 3.663E-5, 0.99999117, 9.336E-6
6.32741, 3.92314154, 4.091E-5, 0.99999258, 1.043E-5
6.32741, 3.92313799, 4.281E-5, 0.99999168, 1.091E-5
6.32741, 3.92313972, 4.220E-5, 0.99999212, 1.076E-5
6.32741, 3.92314076, 4.257E-5, 0.99999238, 1.085E-5
6.32741, 3.92314255, 3.566E-5, 0.99999284, 9.089E-6
6.32741, 3.92314054, 4.232E-5, 0.99999233, 1.079E-5
6.32741, 3.92313969, 3.608E-5, 0.99999211, 9.196E-6
6.32741, 3.92313632, 3.555E-5, 0.99999125, 9.062E-6
6.32741, 3.92313872, 3.936E-5, 0.99999186, 1.003E-5
6.32741, 3.92314161, 3.460E-5, 0.99999260, 8.821E-6
6.32741, 3.92314251, 3.579E-5, 0.99999283, 9.122E-6
6.32741, 3.92313859, 4.166E-5, 0.99999183, 1.062E-5
6.32741, 3.92313765, 3.907E-5, 0.99999159, 9.958E-6
6.32741, 3.92313894, 3.501E-5, 0.99999192, 8.923E-6
6.32741, 3.92314251, 3.902E-5, 0.99999283, 9.945E-6
6.32741, 3.92313827, 3.645E-5, 0.99999175, 9.292E-6
6.32741, 3.92313920, 3.598E-5, 0.99999198, 9.170E-6
6.32741, 3.92313886, 3.632E-5, 0.99999190, 9.257E-6
6.32741, 3.92313651, 4.124E-5, 0.99999130, 1.051E-5
6.32741, 3.92313718, 4.226E-5, 0.99999147, 1.077E-5
6.32741, 3.92313913, 3.981E-5, 0.99999197, 1.015E-5
6.32741, 3.92313602, 3.808E-5, 0.99999118, 9.706E-6
6.32741, 3.92314012, 3.496E-5, 0.99999222, 8.911E-6
6.32741, 3.92313770, 3.846E-5, 0.99999160, 9.803E-6
6.32741, 3.92313628, 3.582E-5, 0.99999124, 9.130E-6
6.32741, 3.92313934, 4.035E-5, 0.99999202, 1.029E-5
6.32741, 3.92313854, 3.998E-5, 0.99999182, 1.019E-5
6.32741, 3.92313821, 3.566E-5, 0.99999173, 9.090E-6
6.32741, 3.92313611, 4.225E-5, 0.99999120, 1.077E-5
6.32741, 3.92314056, 4.003E-5, 0.99999233, 1.020E-5
6.32741, 3.92313604, 3.614E-5, 0.99999118, 9.211E-6
6.32741, 3.92314222, 3.564E-5, 0.99999276, 9.084E-6
6.32741, 3.92313856, 3.602E-5, 0.99999182, 9.180E-6
6.32741, 3.92314089, 4.167E-5, 0.99999242, 1.062E-5
6.32741, 3.92314092, 4.251E-5, 0.99999242, 1.084E-5
6.32741, 3.92314246, 3.693E-5, 0.99999282, 9.413E-6
6.32741, 3.92313764, 3.790E-5, 0.99999159, 9.661E-6
6.32741, 3.92314179, 3.567E-5, 0.99999264, 9.091E-6
6.32741, 3.92313786, 4.033E-5, 0.99999164, 1.028E-5
6.32741, 3.92314200, 3.453E-5, 0.99999270, 8.803E-6
6.32741, 3.92314152, 4.008E-5, 0.99999258, 1.022E-5
6.32741, 3.92313867, 3.451E-5, 0.99999185, 8.796E-6
6.32741, 3.92313682, 4.258E-5, 0.99999138, 1.085E-5
6.32741, 3.92313832, 3.495E-5, 0.99999176, 8.909E-6
6.32741, 3.92314226, 3.552E-5, 0.99999277, 9.055E-6
6.32741, 3.92314001, 3.870E-5, 0.99999219, 9.864E-6
6.32741, 3.92313724, 3.565E-5, 0.99999148, 9.088E-6
6.32741, 3.92314155, 4.074E-5, 0.99999258, 1.038E-5
6.32741, 3.92313621, 4.245E-5, 0.99999122, 1.082E-5
6.32741, 3.92314154, 3.680E-5, 0.99999258, 9.381E-6
6.32741, 3.92314138, 3.986E-5, 0.99999254, 1.016E-5
6.32741, 3.92313781, 3.759E-5, 0.99999163, 9.580E-6
6.32741, 3.92313773, 4.102E-5, 0.99999161, 1.045E-5
6.32741, 3.92313726, 3.798E-5, 0.99999149, 9.680E-6
6.32741, 3.92313597, 4.101E-5, 0.99999116, 1.045E-5
6.32741, 3.92314140, 3.681E-5, 0.99999255, 9.383E-6
6.32741, 3.92313807, 4.034E-5, 0.99999170, 1.028E-5
6.32741, 3.92313917, 3.781E-5, 0.99999198, 9.639E-6
6.32741, 3.92313800, 4.179E-5, 0.99999168, 1.065E-5
6.32741, 3.92314053, 3.551E-5, 0.99999232, 9.051E-6
6.32741, 3.92314096, 3.695E-5, 0.99999243, 9.419E-6
6.32741, 3.92314202, 3.710E-5, 0.99999270, 9.457E-6
6.32741, 3.92314192, 3.459E-5, 0.99999268, 8.817E-6
6.32741, 3.92313700, 3.719E-5, 0.99999142, 9.479E-6
6.32741, 3.92313633, 3.807E-5, 0.99999125, 9.705E-6
6.32741, 3.92314058, 4.053E-5, 0.99999234, 1.033E-5
6.32741, 3.92314253, 3.932E-5, 0.99999283, 1.002E-5
6.32741, 3.92314249, 4.240E-5, 0.99999282, 1.081E-5
6.32741, 3.92313864, 4.272E-5, 0.99999184, 1.089E-5
6.32741, 3.92313649, 4.012E-5, 0.99999130, 1.023E-5
6.32741, 3.92313734, 4.272E-5, 0.99999151, 1.089E-5
6.32741, 3.92313881, 3.937E-5, 0.99999188, 1.004E-5
6.32741, 3.92313733, 3.860E-5, 0.99999151, 9.840E-6
6.32741, 3.92314094, 3.972E-5, 0.99999243, 1.013E-5
6.32741, 3.92314078, 3.458E-5, 0.99999239, 8.815E-6
6.32741, 3.92313922, 3.899E-5, 0.99999199, 9.937E-6
6.32741, 3.92313936, 3.644E-5, 0.99999203, 9.287E-6
6.32741, 3.92314241, 4.210E-5, 0.99999280, 1.073E-5
6.32741, 3.92313964, 3.800E-5, 0.99999210, 9.687E-6
6.32741, 3.92313935, 3.966E-5, 0.99999202, 1.011E-5
6.32741, 3.92313989, 4.234E-5, 0.99999216, 1.079E-5
6.32741, 3.92314130, 4.263E-5, 0.99999252, 1.087E-5
6.32741, 3.92313587, 3.796E-5, 0.99999114, 9.677E-6
6.32741, 3.92314205, 3.763E-5, 0.99999271, 9.592E-6
6.32741, 3.92313553, 3.752E-5, 0.99999105, 9.563E-6
6.32741, 3.92314082, 3.846E-5, 0.99999240, 9.804E-6
6.32741, 3.92314111, 3.964E-5, 0.99999247, 1.010E-5
6.32741, 3.92313949, 4.254E-5, 0.99999206, 1.084E-5
6.32741, 3.92313716, 4.115E-5, 0.99999146, 1.049E-5
6.32741, 3.92314060, 4.206E-5, 0.99999234, 1.072E-5
6.32741, 3.92314029, 3.777E-5, 0.99999226, 9.627E-6
6.32741, 3.92313751, 3.972E-5, 0.99999155, 1.013E-5
6.32741, 3.92314105, 4.247E-5, 0.99999246, 1.082E-5
6.32741, 3.92314167, 3.689E-5, 0.99999261, 9.402E-6
6.32741, 3.92313665, 3.739E-5, 0.99999133, 9.530E-6
6.32741, 3.92313898, 3.770E-5, 0.99999193, 9.610E-6
6.32741, 3.92313992, 3.653E-5, 0.99999217, 9.310E-6
6.32741, 3.92313847, 3.875E-5, 0.99999180, 9.878E-6
6.32741, 3.92313598, 4.227E-5, 0.99999117, 1.078E-5
6.32741, 3.92313738, 4.158E-5, 0.99999152, 1.060E-5
6.32741, 3.92313780, 3.440E-5, 0.99999163, 8.768E-6
6.32741, 3.92314089, 3.864E-5, 0.99999242, 9.849E-6
6.32741, 3.92313815, 4.218E-5, 0.99999172, 1.075E-5
6.32741, 3.92313915, 3.569E-5, 0.99999197, 9.098E-6
6.32741, 3.92313680, 3.449E-5, 0.99999137, 8.792E-6
6.32741, 3.92313645, 4.066E-5, 0.99999128, 1.036E-5
6.32741, 3.92314041, 3.963E-5, 0.99999229, 1.010E-5
6.32741, 3.92313747, 4.181E-5, 0.99999154, 1.066E-5
6.32741, 3.92314029, 3.663E-5, 0.99999226, 9.337E-6
6.32741, 3.92313614, 3.467E-5, 0.99999120, 8.837E-6
6.32741, 3.92313911, 3.776E-5, 0.99999196, 9.625E-6
6.32741, 3.92314173, 4.102E-5, 0.99999263, 1.046E-5
6.32741, 3.92313562, 4.207E-5, 0.99999107, 1.072E-5
6.32741, 3.92313666, 3.604E-5, 0.99999134, 9.185E-6
6.32741, 3.92313965, 3.767E-5, 0.99999210, 9.603E-6
6.32741, 3.92313604, 4.283E-5, 0.99999118, 1.092E-5
6.32741, 3.92313899, 3.578E-5, 0.99999193, 9.121E-6
6.32741, 3.92314060, 3.624E-5, 0.99999234, 9.237E-6
6.32741, 3.92313564, 3.639E-5, 0.99999108, 9.275E-6
6.32741, 3.92314196, 3.959E-5, 0.99999269, 1.009E-5
6.32741, 3.92313747, 3.738E-5, 0.99999155, 9.529E-6
6.32741, 3.92313667, 3.629E-5, 0.99999134, 9.249E-6
6.32741, 3.92313751, 3.509E-5, 0.99999156, 8.945E-6
6.32741, 3.92314007, 4.135E-5, 0.99999221, 1.054E-5
6.32741, 3.92314035, 4.104E-5, 0.99999228, 1.046E-5
6.32741, 3.92314248, 4.204E-5, 0.99999282, 1.072E-5
6.32741, 3.92313850, 3.623E-5, 0.99999181, 9.236E-6
6.32741, 3.92313611, 4.282E-5, 0.99999120, 1.092E-5
6.32741, 3.92313824, 4.276E-5, 0.99999174, 1.090E-5
6.32741, 3.92313705, 3.531E-5, 0.99999144, 9.000E-6
6.32741, 3.92313918, 4.189E-5, 0.99999198, 1.068E-5
6.32741, 3.92314109, 3.936E-5, 0.99999247, 1.003E-5
6.32741, 3.92314043, 3.488E-5, 0.99999230, 8.891E-6
6.32741, 3.92314167, 3.839E-5, 0.99999262, 9.785E-6
6.32741, 3.92313721, 4.152E-5, 0.99999148, 1.058E-5
6.32741, 3.92314235, 3.889E-5, 0.99999279, 9.914E-6
6.32741, 3.92313701, 3.574E-5, 0.99999143, 9.109E-6
6.32741, 3.92314064, 3.866E-5, 0.99999235, 9.853E-6
6.32741, 3.92314164, 3.641E-5, 0.99999261, 9.280E-6
6.32741, 3.92314174, 3.474E-5, 0.99999263, 8.854E-6
6.32741, 3.92313626, 4.261E-5, 0.99999124, 1.086E-5
6.32741, 3.92313658, 3.457E-5, 0.99999132, 8.812E-6
6.32741, 3.92314057, 4.093E-5, 0.99999233, 1.043E-5
6.32741, 3.92313608, 4.060E-5, 0.99999119, 1.035E-5
6.32741, 3.92313901, 3.980E-5, 0.99999194, 1.015E-5
6.32741, 3.92314135, 3.501E-5, 0.99999253, 8.925E-6
6.32741, 3.92314231, 3.962E-5, 0.99999278, 1.010E-5
6.32741, 3.92313658, 4.003E-5, 0.99999132, 1.020E-5
6.32741, 3.92313851, 3.867E-5, 0.99999181, 9.858E-6
6.32741, 3.92313888, 3.842E-5, 0.99999190, 9.792E-6
6.32741, 3.92314101, 4.217E-5, 0.99999245, 1.075E-5
6.32741, 3.92314240, 3.792E-5, 0.99999280, 9.665E-6
6.32741, 3.92314170, 4.190E-5, 0.99999262, 1.068E-5
6.32741, 3.92313560, 4.092E-5, 0.99999107, 1.043E-5
6.32741, 3.92313690, 3.900E-5, 0.99999140, 9.940E-6
6.32741, 3.92314071, 4.049E-5, 0.99999237, 1.032E-5
6.32741, 3.92314074, 4.140E-5, 0.99999238, 1.055E-5
6.32741, 3.92313557, 4.035E-5, 0.99999106, 1.029E-5
6.32741, 3.92313811, 3.770E-5, 0.99999171, 9.609E-6
10.84727, 3.92313073, 3.540E-5, 0.99998983, 9.022E-6
13.35097, 3.92312266, 4.096E-5, 0.99998777, 1.044E-5
16.50024, 3.92312064, 4.128E-5, 0.99998725, 1.052E-5
16.89718, 3.92312406, 3.460E-5, 0.99998812, 8.818E-6
18.43916, 3.92312002, 4.279E-5, 0.99998710, 1.091E-5
18.71970, 3.92312227, 4.274E-5, 0.99998767, 1.089E-5
19.92075, 3.92311513, 3.770E-5, 0.99998585, 9.610E-6
20.09700, 3.92312135, 4.275E-5, 0.99998743, 1.090E-5
22.40072, 3.92311465, 4.048E-5, 0.99998573, 1.032E-5
22.73227, 3.92311499, 3.962E-5, 0.99998581, 1.010E-5
22.88303, 3.92311584, 4.022E-5, 0.99998603, 1.025E-5
23.63856, 3.92311705, 4.067E-5, 0.99998634, 1.037E-5
23.76774, 3.92311854, 4.271E-5, 0.99998672, 1.089E-5
24.56277, 3.92311612, 3.665E-5, 0.99998610, 9.342E-6
24.95299, 3.92311411, 3.861E-5, 0.99998559, 9.841E-6
25.14567, 3.92311437, 3.816E-5, 0.99998566, 9.727E-6
25.78060, 3.92311938, 3.614E-5, 0.99998693, 9.212E-6
26.39045, 3.92311631, 3.643E-5, 0.99998615, 9.285E-6
27.60262, 3.92311718, 3.833E-5, 0.99998637, 9.769E-6
27.70370, 3.92311953, 3.769E-5, 0.99998697, 9.606E-6
28.94695, 3.92311596, 4.159E-5, 0.99998606, 1.060E-5
29.59505, 3.92311706, 3.964E-5, 0.99998634, 1.010E-5
30.21977, 3.92312082, 4.219E-5, 0.99998730, 1.075E-5
30.23794, 3.92311652, 4.234E-5, 0.99998620, 1.079E-5
30.28607, 3.92311982, 4.026E-5, 0.99998705, 1.026E-5
30.65557, 3.92311997, 3.893E-5, 0.99998708, 9.924E-6
30.75637, 3.92311635, 3.677E-5, 0.99998616, 9.374E-6
31.61633, 3.92311892, 3.547E-5, 0.99998682, 9.040E-6
31.83533, 3.92312209, 3.832E-5, 0.99998762, 9.768E-6
33.33710, 3.92311929, 3.439E-5, 0.99998691, 8.767E-6
33.82132, 3.92312516, 3.746E-5, 0.99998841, 9.549E-6
34.03442, 3.92311954, 4.094E-5, 0.99998697, 1.043E-5
34.37022, 3.92312531, 4.143E-5, 0.99998844, 1.056E-5
34.44155, 3.92312077, 4.067E-5, 0.99998729, 1.037E-5
36.55362, 3.92312443, 4.086E-5, 0.99998822, 1.042E-5
38.41445, 3.92312908, 3.730E-5, 0.99998940, 9.507E-6
39.24860, 3.92312555, 3.428E-5, 0.99998851, 8.737E-6
45.14055, 3.92313623, 3.848E-5, 0.99999123, 9.807E-6
46.37583, 3.92313642, 3.583E-5, 0.99999128, 9.132E-6
46.96827, 3.92313762, 4.222E-5, 0.99999158, 1.076E-5
47.04710, 3.92314088, 4.252E-5, 0.99999241, 1.084E-5
47.46510, 3.92314212, 4.066E-5, 0.99999273, 1.036E-5
47.80126, 3.92314241, 4.004E-5, 0.99999280, 1.021E-5
51.80626, 3.92313607, 4.119E-5, 0.99999119, 1.050E-5
51.95148, 3.92313831, 4.015E-5, 0.99999176, 1.023E-5
52.22388, 3.92314026, 3.752E-5, 0.99999226, 9.564E-6
52.46605, 3.92314163, 4.138E-5, 0.99999260, 1.055E-5
53.10165, 3.92314089, 4.118E-5, 0.99999242, 1.050E-5
54.72844, 3.92314778, 3.811E-5, 0.99999417, 9.715E-6
54.93717, 3.92314628, 3.529E-5, 0.99999379, 8.994E-6
55.15139, 3.92314294, 3.449E-5, 0.99999294, 8.790E-6
55.42290, 3.92314363, 3.736E-5, 0.99999311, 9.523E-6
55.48490, 3.92314382, 3.966E-5, 0.99999316, 1.011E-5
56.01671, 3.92314994, 3.636E-5, 0.99999472, 9.269E-6
56.56492, 3.92314728, 3.672E-5, 0.99999404, 9.359E-6
56.62267, 3.92315198, 3.891E-5, 0.99999524, 9.919E-6
57.48770, 3.92314633, 4.268E-5, 0.99999380, 1.088E-5
58.12746, 3.92314900, 3.706E-5, 0.99999448, 9.445E-6
59.82644, 3.92314752, 3.948E-5, 0.99999410, 1.006E-5
60.86866, 3.92314431, 3.670E-5, 0.99999329, 9.354E-6
60.95821, 3.92314654, 3.433E-5, 0.99999386, 8.751E-6
61.81685, 3.92314877, 4.233E-5, 0.99999442, 1.079E-5
62.18694, 3.92314816, 3.496E-5, 0.99999427, 8.910E-6
62.59800, 3.92314580, 3.658E-5, 0.99999367, 9.323E-6
62.68659, 3.92314743, 3.446E-5, 0.99999408, 8.785E-6
63.39302, 3.92314892, 3.552E-5, 0.99999446, 9.053E-6
63.58244, 3.92315086, 4.222E-5, 0.99999496, 1.076E-5
63.92437, 3.92314888, 3.490E-5, 0.99999445, 8.896E-6
64.02682, 3.92314864, 3.474E-5, 0.99999439, 8.856E-6
65.09807, 3.92314848, 3.725E-5, 0.99999435, 9.494E-6
65.64434, 3.92314830, 3.580E-5, 0.99999430, 9.124E-6
66.56360, 3.92315172, 3.651E-5, 0.99999518, 9.307E-6
66.99230, 3.92314864, 3.716E-5, 0.99999439, 9.472E-6
67.00660, 3.92315095, 3.677E-5, 0.99999498, 9.372E-6
67.02090, 3.92314782, 4.237E-5, 0.99999418, 1.080E-5
67.03520, 3.92315183, 4.047E-5, 0.99999520, 1.032E-5
67.04949, 3.92314637, 4.216E-5, 0.99999381, 1.075E-5
67.06379, 3.92314785, 3.890E-5, 0.99999419, 9.916E-6
67.07809, 3.92314960, 3.725E-5, 0.99999463, 9.494E-6
67.09239, 3.92314546, 3.541E-5, 0.99999358, 9.027E-6
67.10669, 3.92314626, 3.771E-5, 0.99999378, 9.612E-6
67.12099, 3.92314756, 3.552E-5, 0.99999412, 9.054E-6
67.13529, 3.92314974, 3.957E-5, 0.99999467, 1.009E-5
67.14959, 3.92314919, 4.062E-5, 0.99999453, 1.035E-5
67.16389, 3.92314546, 4.043E-5, 0.99999358, 1.031E-5
67.17819, 3.92315156, 3.945E-5, 0.99999514, 1.006E-5
67.19249, 3.92314860, 3.915E-5, 0.99999438, 9.979E-6
67.20678, 3.92314822, 4.056E-5, 0.99999428, 1.034E-5
67.22108, 3.92314529, 3.592E-5, 0.99999354, 9.155E-6
67.23538, 3.92314863, 3.681E-5, 0.99999439, 9.384E-6
67.24968, 3.92314711, 4.103E-5, 0.99999400, 1.046E-5
67.26398, 3.92314995, 3.595E-5, 0.99999472, 9.165E-6
67.27828, 3.92314991, 3.565E-5, 0.99999472, 9.086E-6
67.29258, 3.92303110, 3.796E-5, 0.99996443, 9.677E-6
67.30688, 3.92300722, 3.571E-5, 0.99995834, 9.102E-6
67.32118, 3.92299302, 3.511E-5, 0.99995472, 8.950E-6
67.33548, 3.92298088, 3.696E-5, 0.99995163, 9.422E-6
67.34978, 3.92297292, 3.577E-5, 0.99994960, 9.118E-6
67.36407, 3.92296787, 4.226E-5, 0.99994831, 1.077E-5
67.37837, 3.92296008, 3.527E-5, 0.99994633, 8.991E-6
67.39267, 3.92295190, 3.705E-5, 0.99994424, 9.445E-6
67.40697, 3.92294624, 3.508E-5, 0.99994280, 8.942E-6
67.42127, 3.92294363, 4.203E-5, 0.99994213, 1.071E-5
67.43557, 3.92294317, 3.813E-5, 0.99994202, 9.718E-6
67.44987, 3.92294140, 4.279E-5, 0.99994157, 1.091E-5
67.46417, 3.92293644, 3.718E-5, 0.99994030, 9.478E-6
67.47847, 3.92293296, 4.188E-5, 0.99993941, 1.067E-5
67.49277, 3.92293801, 4.268E-5, 0.99994070, 1.088E-5
67.50707, 3.92293611, 4.223E-5, 0.99994022, 1.076E-5
67.52136, 3.92293383, 3.935E-5, 0.99993964, 1.003E-5
67.53566, 3.92293192, 3.525E-5, 0.99993915, 8.986E-6
67.54996, 3.92293139, 3.565E-5, 0.99993901, 9.088E-6
67.56426, 3.92293356, 4.038E-5, 0.99993957, 1.029E-5
67.57856, 3.92293091, 3.795E-5, 0.99993889, 9.673E-6
67.59286, 3.92293026, 3.829E-5, 0.99993873, 9.759E-6
67.60716, 3.92293604, 3.845E-5, 0.99994020, 9.800E-6
67.62146, 3.92293549, 3.499E-5, 0.99994006, 8.918E-6
67.63576, 3.92293684, 3.449E-5, 0.99994040, 8.791E-6
67.65006, 3.92294040, 3.847E-5, 0.99994131, 9.806E-6
67.66223, 3.92294085, 3.910E-5, 0.99994143, 9.967E-6
67.66435, 3.92294232, 3.796E-5, 0.99994180, 9.675E-6
67.67865, 3.92294100, 4.224E-5, 0.99994146, 1.077E-5
67.69295, 3.92294339, 4.140E-5, 0.99994207, 1.055E-5
67.70725, 3.92294574, 3.906E-5, 0.99994267, 9.956E-6
67.72155, 3.92294973, 3.758E-5, 0.99994369, 9.578E-6
67.73585, 3.92296031, 4.255E-5, 0.99994639, 1.085E-5
67.75015, 3.92296567, 3.916E-5, 0.99994775, 9.982E-6
67.76445, 3.92297349, 3.939E-5, 0.99994975, 1.004E-5
67.77875, 3.92298237, 3.479E-5, 0.99995201, 8.868E-6
67.79305, 3.92299093, 3.516E-5, 0.99995419, 8.963E-6
67.80735, 3.92300746, 3.624E-5, 0.99995840, 9.237E-6
67.82164, 3.92302866, 3.559E-5, 0.99996381, 9.071E-6
67.83594, 3.92314554, 3.782E-5, 0.99999360, 9.640E-6
67.85024, 3.92314320, 3.807E-5, 0.99999301, 9.705E-6
67.86454, 3.92314980, 3.739E-5, 0.99999469, 9.531E-6
67.87884, 3.92314846, 3.838E-5, 0.99999434, 9.783E-6
67.89314, 3.92314357, 3.427E-5, 0.99999310, 8.735E-6
67.90744, 3.92314474, 3.643E-5, 0.99999340, 9.287E-6
67.92174, 3.92314612, 3.934E-5, 0.99999375, 1.003E-5
67.93604, 3.92314983, 3.529E-5, 0.99999469, 8.995E-6
67.95034, 3.92314341, 3.956E-5, 0.99999306, 1.008E-5
67.96464, 3.92314367, 4.111E-5, 0.99999313, 1.048E-5
67.97893, 3.92314877, 3.528E-5, 0.99999443, 8.992E-6
67.99323, 3.92314471, 3.607E-5, 0.99999339, 9.193E-6
68.00753, 3.92314967, 3.444E-5, 0.99999465, 8.778E-6
68.02183, 3.92314966, 3.854E-5, 0.99999465, 9.824E-6
68.03613, 3.92314843, 4.194E-5, 0.99999434, 1.069E-5
68.05043, 3.92314714, 3.511E-5, 0.99999401, 8.950E-6
68.06473, 3.92314656, 3.954E-5, 0.99999386, 1.008E-5
68.07903, 3.92314711, 3.530E-5, 0.99999400, 8.999E-6
68.09333, 3.92314745, 4.256E-5, 0.99999409, 1.085E-5
68.10189, 3.92314840, 4.234E-5, 0.99999433, 1.079E-5
68.10763, 3.92314713, 4.276E-5, 0.99999401, 1.090E-5
68.12193, 3.92314718, 3.551E-5, 0.99999402, 9.052E-6
68.45391, 3.92314909, 4.179E-5, 0.99999451, 1.065E-5
68.91288, 3.92314241, 3.657E-5, 0.99999280, 9.321E-6
69.19360, 3.92314667, 3.959E-5, 0.99999389, 1.009E-5
69.68756, 3.92314439, 3.763E-5, 0.99999331, 9.591E-6
69.73301, 3.92314142, 3.474E-5, 0.99999255, 8.856E-6
70.14054, 3.92314385, 3.644E-5, 0.99999317, 9.289E-6
70.23667, 3.92314109, 3.498E-5, 0.99999247, 8.916E-6
70.59457, 3.92314125, 3.848E-5, 0.99999251, 9.809E-6
70.79267, 3.92314484, 3.555E-5, 0.99999342, 9.061E-6
72.21138, 3.92314609, 3.713E-5, 0.99999374, 9.464E-6
72.63916, 3.92314235, 3.614E-5, 0.99999279, 9.211E-6
72.65659, 3.92314000, 3.625E-5, 0.99999219, 9.241E-6
73.82509, 3.92314017, 3.516E-5, 0.99999223, 8.963E-6
74.54252, 3.92314463, 4.230E-5, 0.99999337, 1.078E-5
74.88311, 3.92314525, 3.472E-5, 0.99999353, 8.850E-6
76.52733, 3.92314471, 4.072E-5, 0.99999339, 1.038E-5
77.00598, 3.92314436, 3.863E-5, 0.99999330, 9.846E-6
